"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"264","Jericho Sims","Nyk","C","24.4","49","15.8","7.6","19.9","16","0.75","103","0.777","1","0","0.769","0.774","3.5","4.7","0.5","0.3","0.6","0.5","8.2","4","8.7","5.1","145.2","103.1"
"265","Jevon Carter","Mil","G","27.5","70","22.3","15.2","13.1","36","0.806","200","0.44","277","0.422","0.552","0.564","7.9","2.6","2.4","0.9","0.4","1","10.5","10.3","12.9","6.6","112.9","105.2"
"266","Jimmy Butler","Mia","F","33.5","56","33.3","25.8","10.7","483","0.853","690","0.551","92","0.337","0.545","0.636","22.6","6.1","5.1","1.9","0.4","1.7","28.7","27.6","33.7","10.7","133.3","110.4"
"267","Jock Landale","Pho","C","27.4","61","13.9","19.3","15.6","99","0.778","206","0.631","80","0.238","0.554","0.598","6.5","4","0.9","0.2","0.5","0.9","10.5","7.4","11.4","8.2","119.6","102.7"
"268","Joe Harris","Bro","G-F","31.5","63","21.6","14.2","9","24","0.625","103","0.544","283","0.424","0.611","0.614","7.7","2.3","1.4","0.5","0.2","0.6","10","9.1","11.4","5.4","117","109.7"
"269","Joe Ingles","Mil","F-G","35.5","36","23.2","13","18.1","19","0.842","41","0.561","162","0.401","0.594","0.608","7.1","3.1","3.2","0.7","0.1","1.3","10.3","10.3","13.4","7.1","117.8","106.6"
"270","Joe Wieskamp","Tor","G-F","23.6","4","6.7","14.4","11.1","0","0","1","0","7","0.429","0.563","0.563","2.3","0.5","0.3","0","0","0.3","2.8","2.5","3","4.2","105.5","114"
"271","Joel Embiid","Phi","C-F","29","56","34.9","37.3","14.5","661","0.856","980","0.578","169","0.355","0.571","0.652","33.5","10.2","4.1","1.1","1.7","3.5","43.8","37.6","47.9","12.8","124","103.3"
"272","John Butler Jr.","Por","F","20.3","9","3.4","7.2","0","0","0","1","1","4","0","0.2","0.2","0.2","0.2","0.1","0.1","0.3","0","0.4","0.3","0.6","1.9","",""
"273","John Collins","Atl","F-C","25.5","60","30.2","17","10.7","142","0.824","400","0.625","195","0.262","0.549","0.586","12.8","6.6","1.2","0.6","1.1","1.2","19.4","14","20.6","6.2","114.2","107.4"
"274","John Konchar","Mem","G","27","61","21.3","10.5","10.2","33","0.818","124","0.524","158","0.361","0.534","0.553","5.4","4.3","1.4","1","0.3","0.5","9.7","6.8","11","6","117.7","105.5"
"275","John Wall","Lac","G","32.5","34","22.2","27.1","19.1","113","0.681","229","0.459","109","0.303","0.457","0.498","11.4","2.7","5.2","0.8","0.4","2.4","14.1","16.6","19.3","9.8","102.1","109.6"
"276","Johnny Davis","Was","G","21.1","16","6.7","15.5","11","4","1","26","0.462","6","0.167","0.422","0.459","1.9","1.1","0.2","0.1","0.1","0.3","3","2.1","3.2","4.5","90.7","101"
"277","Johnny Juzang","Uta","G","22","7","10.2","20.4","5.9","2","0","9","0.333","23","0.304","0.422","0.411","3.9","1","0.1","0.3","0.4","0.3","4.9","4","5","2.9","86","109.8"
"278","Jonas Valanciunas","Nor","C","30.9","67","24.5","23.3","15.8","192","0.823","586","0.585","98","0.337","0.574","0.614","14.1","9.7","1.6","0.2","0.6","1.9","23.7","15.7","25.4","9.8","117.5","101"
"279","Jonathan Isaac","Orl","F","25.5","11","11.3","21.1","7","9","0.556","38","0.421","15","0.4","0.472","0.483","5","4","0.5","1.3","0.4","0.4","9","5.5","9.5","7.6","108.5","105.8"
"280","Jonathan Kuminga","Gol","F","20.4","56","20.2","19.8","17.3","104","0.654","287","0.571","118","0.339","0.553","0.572","9.2","3.3","1.8","0.6","0.4","1.5","12.5","11","14.3","7.5","106.8","106.9"
"281","Jordan Clarkson","Uta","G","30.8","61","32.6","27.9","15.3","245","0.816","572","0.53","459","0.338","0.519","0.558","20.8","4","4.4","0.5","0.2","3","24.9","25.3","29.3","8.8","109.2","115.6"
"282","Jordan Goodwin","Was","G","24.4","50","17","15.8","15","49","0.755","168","0.488","76","0.355","0.502","0.531","5.6","3.1","2.4","0.9","0.4","0.9","8.8","8","11.1","8.2","113.5","107.1"
"283","Jordan Hall","San","G","21.2","9","9.1","19.6","19.8","9","0.778","13","0.462","15","0.2","0.375","0.438","3.1","1.3","1.2","0.1","0","0.8","4.4","4.3","5.7","7.4","91.3","117.4"
"284","Jordan McLaughlin","Min","G","26.9","34","15.7","11.8","16.9","10","0.9","53","0.604","65","0.277","0.5","0.519","3.7","1.5","3.1","0.9","0.1","0.7","5.2","6.8","8.3","6.6","117.3","115.7"
"285","Jordan Nwora","Mil","F","24.5","38","15.7","17.7","14.7","43","0.86","95","0.379","102","0.392","0.487","0.53","6","3.1","1","0.3","0.2","0.9","9.1","7","10.1","6.8","105.9","108.5"
"286","Jordan Nwora","Ind","F","24.5","12","22.2","21.7","11.6","19","0.632","64","0.563","50","0.4","0.579","0.588","12","4.1","2.2","0.9","0.3","1.3","16.1","14.2","18.3","8.6","112.7","114.7"
"287","Jordan Poole","Gol","G","23.7","71","30.6","29.1","16.9","345","0.87","567","0.524","560","0.33","0.51","0.567","20.4","2.8","4.6","0.8","0.2","3.2","23.2","25","27.7","8.4","106.9","111.7"
"288","Jordan Schakel","Was","G","24.8","2","3.1","14.1","0","0","0","1","0","1","1","0.75","0.75","1.5","0","0.5","0.5","0","0","1.5","2","2","0","",""
"289","Jose Alvarado","Nor","G","24.9","61","21.5","19.8","14.2","80","0.813","242","0.488","247","0.336","0.496","0.525","9","2.3","3","1.1","0.2","1.3","11.3","12.1","14.4","7.4","106.4","106.7"
"290","Josh Christopher","Hou","G","21.3","52","11.4","21.7","16.2","46","0.761","173","0.538","69","0.275","0.502","0.53","5.3","1.1","1","0.4","0.2","0.9","6.5","6.4","7.5","6.3","101.5","114.6"
"291","Josh Giddey","Okc","G","20.4","65","30.8","24.4","16.7","112","0.75","749","0.523","188","0.324","0.516","0.533","16.2","7.9","6.1","0.8","0.4","2.9","24","22.3","30.2","12","108.6","109.6"
"292","Josh Green","Dal","G","22.3","51","25.5","15.3","15.2","87","0.713","187","0.636","152","0.408","0.625","0.644","9.5","2.9","1.8","0.7","0.1","1.2","12.5","11.3","14.3","5.8","120.8","108.8"
"293","Josh Hart","Nyk","G","28","14","30.2","13.4","20.6","37","0.757","58","0.603","34","0.559","0.69","0.716","11.1","7.1","3.9","1.2","0.4","1.7","18.1","14.9","22","8.9","135.5","105.6"
"294","Josh Hart","Por","G","28","51","33.4","12.7","17.9","119","0.731","251","0.594","112","0.304","0.551","0.586","9.5","8.2","3.9","1.1","0.2","1.5","17.7","13.5","21.6","8.1","122.2","111"
"295","Josh Minott","Min","F","20.3","13","5.8","18.9","0","6","1","25","0.56","6","0.333","0.548","0.595","3.1","1.7","0.2","0.2","0.5","0","4.8","3.3","5","7","130.7","103.6"
"296","Josh Okogie","Pho","G","24.5","60","17.6","18.7","14.4","151","0.728","177","0.463","161","0.329","0.478","0.535","7.2","3.4","1.3","0.8","0.5","1","10.6","8.5","11.9","7.2","112.5","108"
"297","Josh Richardson","San","G","29.5","42","23.7","20.6","13.4","60","0.883","199","0.518","207","0.357","0.527","0.556","11.5","2.8","3.3","1","0.3","1.5","14.3","14.7","17.5","8","110.9","116.5"
"298","Josh Richardson","Nor","G","29.5","11","25.7","16.2","10.2","20","0.75","39","0.462","49","0.347","0.494","0.527","9.3","2.4","2","2.1","0.6","0.9","11.6","11.3","13.6","5.5","108.3","104.3"
"299","Joshua Primo","San","G","20.2","4","23.4","18.2","29.5","9","0.778","14","0.429","12","0.25","0.404","0.467","7","3.3","4.5","0.3","0.5","2.8","10.3","11.5","14.8","8","90.4","115.8"
"300","Jrue Holiday","Mil","G","32.8","58","33.1","25","15.9","155","0.858","534","0.537","368","0.378","0.549","0.579","19.4","5.2","7.3","1.2","0.4","2.9","24.5","26.7","31.8","10.9","116.9","108.5"
"301","JT Thor","Cha","F","20.6","59","11.9","12.1","13.2","31","0.645","83","0.506","81","0.259","0.448","0.47","2.8","1.9","0.4","0.3","0.2","0.4","4.7","3.3","5.2","4.3","97.1","112.8"
"302","Juan Toscano-Anderson","Lal","F","29.9","30","12.2","10.4","20.4","15","0.733","46","0.63","20","0.2","0.53","0.558","2.7","2","0.8","0.3","0.2","0.6","4.7","3.5","5.6","5.3","107","104"
"303","Juan Toscano-Anderson","Uta","F","29.9","9","11.2","10.8","19.2","0","0","15","0.4","6","0.333","0.429","0.429","2","2.8","1.1","0.3","0.1","0.6","4.8","3.1","5.9","6.5","94.1","103.5"
"304","Juancho Hernangomez","Tor","F","27.5","42","14.6","9.4","11.6","16","0.563","47","0.66","67","0.254","0.496","0.504","2.9","2.9","0.6","0.4","0.1","0.4","5.8","3.5","6.4","4.7","108.3","110.7"
"305","Julian Champagnie","San","F","21.7","3","10.3","16","8.3","0","0","2","1","9","0.444","0.727","0.727","5.3","2.3","0.7","0","0","0.3","7.7","6","8.3","7.9","134.3","120.2"
"306","Julian Champagnie","Phi","F","21.7","2","3.4","13.3","0","0","0","1","0","1","0","0","0","0","0","0","0.5","0","0","0","0","0","0","",""
"307","Julius Randle","Nyk","F-C","28.3","71","35.9","29.4","13.1","495","0.754","736","0.55","592","0.343","0.534","0.58","25.2","10.3","4.1","0.6","0.3","2.8","35.5","29.4","39.7","11.4","116.8","105.4"
"308","Justin Champagnie","Tor","G-F","21.7","3","3.6","11.7","0","0","0","3","1","0","0","1","1","2","1.3","0.3","0","0","0","3.3","2.3","3.7","10.2","",""
"309","Justin Holiday","Dal","F-G","34","11","17.7","12.8","14.8","2","0","11","0.545","35","0.371","0.554","0.544","4.6","1.7","1","1","0.7","0.7","6.4","5.6","7.4","4.5","100.1","107.8"
"310","Justin Holiday","Atl","F-G","34","28","14.7","14.1","8.8","0","0","38","0.474","87","0.345","0.504","0.504","4.5","0.8","0.9","0.2","0.4","0.4","5.3","5.4","6.2","4","101.3","113.4"
"311","Justin Jackson","Bos","F","28","23","4.7","12.2","6.8","2","0.5","7","0.286","20","0.25","0.352","0.359","0.9","0.7","0.4","0.2","0.2","0.1","1.6","1.3","2","5.4","89.5","107.7"
"312","Justise Winslow","Por","F-G","27","29","26.8","14.3","17.8","28","0.714","153","0.438","45","0.311","0.444","0.466","6.8","5","3.4","1","0.4","1.5","11.8","10.1","15.1","7.3","105","108.4"
"313","Jusuf Nurkic","Por","C","28.6","50","26.6","22.2","19.6","182","0.659","368","0.563","111","0.351","0.554","0.582","13","9.1","2.8","0.8","0.8","2.3","22.1","15.8","24.9","10.4","111.7","102.7"
"314","Kai Jones","Cha","C-F","22.2","37","9.9","12.7","17.6","20","0.75","72","0.597","12","0.25","0.565","0.593","3","2.4","0.2","0.3","0.5","0.5","5.4","3.2","5.5","4.6","111.1","104.6"
"315","Karl-Anthony Towns","Min","C-F","27.3","21","33.8","24.9","17.6","104","0.885","186","0.618","117","0.325","0.568","0.625","20.8","8.2","5.3","0.8","0.7","3.1","29","26","34.2","11.4","118.4","104.6"
"316","Kawhi Leonard","Lac","F","31.7","42","33.5","27","9","230","0.878","506","0.547","193","0.42","0.57","0.624","23.8","6.4","3.9","1.4","0.5","1.6","30.1","27.7","34","10","125.7","111.1"
"317","Keegan Murray","Sac","F","22.6","67","29.5","15.5","8","74","0.797","229","0.511","399","0.404","0.571","0.587","11.6","4.6","1.1","0.8","0.5","0.8","16.2","12.7","17.3","5.3","116.4","112.4"
"318","Keita Bates-Diop","San","F","27.1","55","21.1","15.9","10.5","106","0.792","255","0.553","102","0.373","0.555","0.595","8.7","3.5","1.4","0.7","0.3","0.8","12.2","10.1","13.7","6.6","120.2","118.6"
"319","Keldon Johnson","San","F-G","23.4","59","32.8","27.7","10.9","303","0.762","650","0.518","384","0.326","0.507","0.548","21.7","4.9","2.8","0.7","0.2","2.2","26.6","24.5","29.4","8.1","107.8","117.6"
"320","Kelly Olynyk","Uta","F-C","31.9","57","28.2","17.2","22.3","186","0.839","252","0.575","198","0.399","0.586","0.642","12","5.5","3.3","0.9","0.6","2.3","17.5","15.3","20.8","8.5","118.4","105.7"
"321","Kelly Oubre Jr.","Cha","F-G","27.3","46","32.7","26.2","7","198","0.773","463","0.505","329","0.319","0.494","0.532","20.3","5.3","1.1","1.3","0.4","1.3","25.6","21.5","26.8","6","106.9","109.5"
"322","Kemba Walker","Dal","G","32.9","9","16","22.1","6.5","21","0.81","29","0.586","28","0.25","0.482","0.543","8","1.8","2.1","0.2","0.2","0.4","9.8","10.1","11.9","7.8","118.4","112.8"
"323","Kendall Brown","Ind","G","19.9","6","6.7","10.3","21.7","2","0.5","6","0.667","1","0","0.571","0.571","1.5","1","0.5","0.7","0","0.3","2.5","2","3","5.4","109.4","94.5"
"324","Kendrick Nunn","Was","G","27.6","20","13.9","21","16.2","10","0.9","57","0.526","51","0.373","0.542","0.56","6.3","1.7","1.7","0.5","0","1.1","8","8","9.7","7.6","105.8","112.9"
"325","Kendrick Nunn","Lal","G","27.6","39","13.5","23.3","11","21","0.81","125","0.488","126","0.325","0.488","0.503","6.7","1.4","0.9","0.3","0.1","0.8","8.1","7.6","9","6","95.2","111.5"
"326","Kennedy Chandler","Mem","G","20.5","30","8.1","15.7","18.6","13","0.462","56","0.482","14","0.143","0.429","0.436","2.2","1.1","1.7","0.4","0.2","0.5","3.3","3.9","4.9","7.9","99.8","109.2"
"327","Kenneth Lofton Jr.","Mem","F","20.6","15","4.6","27.7","11.8","9","0.556","28","0.5","9","0.444","0.541","0.549","3","1.2","0.7","0.1","0.1","0.3","4.2","3.7","4.9","11.8","114.7","96.2"
"328","Kenrich Williams","Okc","G-F","28.3","53","22.8","13.7","8.5","39","0.436","212","0.608","134","0.373","0.59","0.585","8","4.9","2","0.8","0.3","0.6","12.9","10","14.9","7.5","126.5","107.7"
"329","Kentavious Caldwell-Pope","Den","G","30.1","67","31.6","14.1","11.8","110","0.836","278","0.511","284","0.44","0.586","0.615","11.2","2.8","2.5","1.5","0.5","1.1","14","13.7","16.5","5.4","119.6","111.9"
"330","Kenyon Martin Jr.","Hou","F","22.2","70","27.3","16.6","12.1","186","0.672","417","0.681","186","0.312","0.615","0.633","12.4","5.6","1.5","0.5","0.4","1.2","18","13.9","19.5","6.9","124","115.5"
"331","Keon Ellis","Sac","G","23.2","10","3.7","14.5","8.9","3","0.667","2","0.5","8","0.625","0.85","0.839","1.9","0.7","0.3","0.2","0.1","0.1","2.6","2.2","2.9","8","",""
"332","Keon Johnson","Por","G","21","37","9.1","24.8","19","28","0.607","79","0.38","66","0.333","0.434","0.454","3.9","1","1.1","0.4","0.2","0.9","4.9","5","6","7.1","88.9","109.6"
"333","Kessler Edwards","Bro","F","22.6","14","5.7","16.1","14.2","2","0.5","12","0.333","12","0.167","0.292","0.301","1.1","1","0.1","0.2","0.1","0.3","2.1","1.2","2.2","3.4","71.9","115.5"
"334","Kessler Edwards","Sac","F","22.6","9","12.7","12","13.2","4","0.75","9","0.444","17","0.353","0.5","0.522","3.2","2.1","0.6","0.2","0","0.4","5.3","3.8","5.9","5","106.8","107.8"
"335","Kevin Durant","Bro","F","34.5","39","36","31.5","15.6","285","0.937","545","0.622","189","0.376","0.607","0.674","29.7","6.7","5.3","0.8","1.5","3.5","36.4","35","41.7","11.3","122.3","110.6"
"336","Kevin Durant","Pho","F","34.5","3","32.7","24.1","12.4","17","0.882","29","0.759","13","0.538","0.774","0.808","26.7","7.3","3.7","0.3","1.3","2","34","30.3","37.7","11","145","110.7"
"337","Kevin Huerter","Sac","G-F","24.6","66","29.6","19.5","10.5","118","0.712","305","0.6","441","0.408","0.607","0.62","15","3.2","2.9","1.1","0.3","1.3","18.2","17.9","21.1","7","119.5","110.9"
"338","Kevin Knox II","Det","F","23.6","42","14.1","16.1","15.1","33","0.788","63","0.651","116","0.371","0.589","0.612","5.6","2.6","0.4","0.3","0.3","0.8","8.2","6","8.6","5.1","109.7","108.1"
"339","Kevin Knox II","Por","F","23.6","10","5.5","13.3","0","2","1","8","0.75","8","0.375","0.656","0.681","2.3","1.2","0.2","0.2","0","0","3.5","2.5","3.7","6","147.5","106.2"
"340","Kevin Love","Mia","F-C","34.5","11","21.2","17.6","15.2","18","0.833","21","0.667","51","0.275","0.486","0.532","7.7","6.5","1.7","0.5","0.3","1.2","14.3","9.5","16","8.3","106.6","104.8"
"341","Kevin Love","Cle","F-C","34.5","41","20","19.6","14.1","63","0.889","90","0.467","195","0.354","0.511","0.555","8.5","6.8","1.9","0.2","0.2","1.1","15.3","10.3","17.1","9.6","111.7","102"
"342","Kevin Porter Jr.","Hou","G-F","22.9","48","33.9","24.7","18.3","213","0.765","414","0.5","300","0.35","0.511","0.552","18.6","5.5","5.9","1.3","0.3","3.3","24.1","24.4","29.9","10","109.7","113.4"
"343","Kevon Harris","Orl","G","25.7","28","12.2","13.2","17.1","27","0.815","49","0.429","28","0.393","0.487","0.546","3.5","1.9","0.5","0.5","0.1","0.6","5.4","3.9","5.8","4.9","109.6","107"
"344","Kevon Looney","Gol","F","27.1","71","23.6","10.7","10.2","128","0.586","332","0.651","1","0","0.649","0.651","7.1","9.2","2.5","0.6","0.6","0.5","16.3","9.6","18.8","9.3","149.2","102.9"
"345","Khem Birch","Tor","C","30.5","20","8.1","11.1","19.8","5","0.8","30","0.6","2","0.5","0.609","0.629","2.2","1.3","0.4","0.3","0.3","0.4","3.4","2.5","3.8","5.2","113.1","103"
"346","Khris Middleton","Mil","F","31.6","26","23.7","27.4","14.8","84","0.905","188","0.495","123","0.317","0.487","0.545","14.6","4","4.8","0.8","0.2","2.1","18.6","19.4","23.4","11","112.7","104.2"
"347","Killian Hayes","Det","G","21.6","65","27.2","20.3","17.4","71","0.789","433","0.423","241","0.282","0.423","0.444","9.6","2.7","6.1","1.4","0.4","2.2","12.4","15.7","18.4","8","97.2","110.4"
"348","Kira Lewis Jr.","Nor","G","21.9","21","10.4","19.9","10.7","20","0.85","53","0.453","30","0.433","0.524","0.566","5","1.6","0.9","0.4","0.1","0.5","6.5","5.8","7.4","7.4","112.7","104.6"
"349","Klay Thompson","Gol","G","33.1","59","32.9","26.7","9","122","0.877","455","0.473","621","0.409","0.554","0.575","22","4.2","2.5","0.7","0.4","1.8","26.2","24.5","28.7","7.5","109.4","114.2"
"350","Kris Dunn","Uta","G","29","9","22.2","21.2","14.7","14","0.786","62","0.581","19","0.368","0.574","0.597","11.6","4.8","4.8","1.6","0.6","1.6","16.3","16.3","21.1","11.6","122.4","101.5"
"351","Kristaps Porzingis","Was","F-C","27.6","60","32.7","27.4","12.2","398","0.847","599","0.551","331","0.375","0.555","0.619","22.8","8.5","2.6","0.9","1.6","2.2","31.3","25.4","33.9","9.7","120.8","106.2"
"352","Kyle Anderson","Min","F-G","29.5","58","27.6","14.3","17.8","127","0.748","311","0.531","82","0.427","0.553","0.59","9.1","5.2","4.6","1.1","0.9","1.5","14.3","13.7","18.9","8.7","120.6","108.8"
"353","Kyle Kuzma","Was","F","27.7","63","35","27.9","14.5","231","0.727","649","0.53","470","0.332","0.517","0.542","21","7.2","3.7","0.6","0.5","3","28.3","24.8","32","9.4","102.6","110.9"
"354","Kyle Lowry","Mia","G","37","47","32.8","17","17.3","120","0.85","162","0.506","283","0.343","0.511","0.559","11.9","4.2","5.2","1.1","0.4","2","16","17","21.2","7.8","113.3","107.1"
"355","Kyrie Irving","Dal","G","31","12","37.9","28.5","10","59","0.949","138","0.587","96","0.427","0.609","0.656","28.4","5.2","6.6","1.1","0.3","2.2","33.6","35","40.2","10.5","130.6","110.4"
"356","Kyrie Irving","Bro","G","31","40","36.9","29.8","10","179","0.883","471","0.569","348","0.374","0.565","0.604","27.1","5.1","5.3","1","0.8","2.3","32.2","32.4","37.5","9.8","117.9","111.6"
"357","KZ Okpala","Sac","F-G","23.9","35","7.1","8.4","15.4","8","0.875","17","0.529","21","0.333","0.513","0.554","1.3","1","0.4","0.2","0.2","0.2","2.3","1.7","2.7","4.5","113.2","102.9"
"358","Lamar Stevens","Cle","F","25.7","53","18.2","13.7","8.8","51","0.725","167","0.539","81","0.321","0.52","0.545","5.6","3.3","0.6","0.4","0.3","0.5","8.8","6.1","9.4","4.9","112.4","106.5"
"359","LaMelo Ball","Cha","G","21.6","36","35.2","29.9","15.2","121","0.843","338","0.45","383","0.376","0.51","0.541","23.3","6.4","8.4","1.3","0.3","3.6","29.7","31.7","38.1","12.2","108.5","108.8"
"360","Landry Shamet","Pho","G","26","30","21.4","19.4","10.6","45","0.911","80","0.388","163","0.374","0.504","0.544","9.5","1.7","2.2","0.6","0.2","1","11.2","11.8","13.5","6.1","111.4","111.8"
"361","Larry Nance Jr.","Nor","F-C","30.2","53","21.8","12.5","12","71","0.676","232","0.659","39","0.359","0.642","0.655","7.5","5.7","1.9","0.9","0.6","0.7","13.2","9.3","15.1","7.9","134.4","104.7"
"362","Lauri Markkanen","Uta","F-C","25.8","62","34.4","26.2","10.2","368","0.87","587","0.586","469","0.403","0.594","0.647","25.4","8.5","1.8","0.6","0.6","1.9","34","27.2","35.8","8.5","126.6","112.4"
"363","Leandro Bolmaro","Uta","F","22.5","14","4.9","15.9","26.9","0","0","15","0.2","4","0","0.158","0.158","0.4","0.5","0.5","0.1","0.1","0.5","0.9","0.9","1.4","3.8","51.3","106.9"
"364","LeBron James","Lal","F","38.2","47","36.1","33.3","12.2","295","0.759","735","0.588","325","0.308","0.549","0.583","29.5","8.4","6.9","0.9","0.6","3.1","38","36.5","44.9","13.2","115","110.4"
"365","Lindell Wigginton","Mil","G","25","2","1.5","43.6","0","0","0","2","0.5","1","0","0.333","0.333","1","0","0","0","0","0","1","1","1","0","",""
"366","Lindy Waters III","Okc","F","25.6","33","12.1","15.8","6.3","18","0.833","10","0.7","124","0.371","0.567","0.588","5.1","1.7","0.7","0.3","0.2","0.3","6.7","5.8","7.4","6","120.5","109.9"
"367","Lonnie Walker IV","Lal","G-F","24.3","51","24.5","20.2","8.3","102","0.873","269","0.52","237","0.359","0.529","0.566","12.2","2","1.2","0.5","0.3","0.9","14.3","13.5","15.5","5","110","113.3"
"368","Luguentz Dort","Okc","G","23.9","63","30.3","20.1","9.9","218","0.78","396","0.447","348","0.339","0.476","0.523","13.9","4.4","2.2","1","0.3","1.3","18.3","16.2","20.5","6.8","109.9","107.9"
"369","Luka Doncic","Dal","F-G","24","57","36.3","38.2","14.3","629","0.736","804","0.586","453","0.349","0.563","0.613","33","8.6","8","1.5","0.5","3.7","41.6","41","49.6","14.5","120.5","108.3"
"370","Luka Garza","Min","C","24.2","25","9.3","26.9","10.5","52","0.788","72","0.653","38","0.368","0.618","0.666","7.1","2.4","0.7","0.1","0.1","0.5","9.5","7.8","10.2","9.8","133.1","100.6"
"371","Luke Kennard","Lac","G","26.7","35","20.7","15.1","12.4","20","0.95","79","0.494","132","0.447","0.604","0.623","7.8","2.4","1.1","0.5","0.1","0.9","10.2","8.9","11.3","5.3","114","111.6"
"372","Luke Kennard","Mem","G","26.7","13","21.7","12.2","10.2","12","0.917","14","0.214","56","0.5","0.643","0.671","7.8","2.2","1.9","0.6","0","0.6","10","9.7","11.9","5.9","132.3","108.6"
"373","Luke Kornet","Bos","F-C","27.7","58","11.5","11.4","13.3","37","0.811","128","0.703","9","0.333","0.69","0.714","3.8","2.9","0.7","0.2","0.7","0.4","6.6","4.4","7.3","6.9","146.9","104.6"
"374","Malachi Flynn","Tor","G","24.9","45","13.2","16.6","8.1","24","0.708","90","0.356","113","0.372","0.468","0.485","4.6","1.4","1.4","0.4","0.1","0.4","6","6","7.5","6.3","108.6","109.7"
"375","Malaki Branham","San","F","19.9","54","22.8","18.3","12.3","54","0.815","259","0.541","196","0.316","0.512","0.533","9.4","2.5","2","0.5","0.1","1.2","12","11.4","14","6.3","104.4","116.7"
"376","Malcolm Brogdon","Bos","G","30.3","59","25.8","22.7","12.7","159","0.881","366","0.505","261","0.456","0.58","0.622","14.7","4.2","3.6","0.6","0.3","1.5","18.9","18.3","22.5","9.4","121.8","108.8"
"377","Malcolm Hill","Chi","F","27.4","5","1.8","19.3","0","0","0","1","1","3","0.333","0.625","0.625","1","0.6","0","0","0","0","1.6","1","1.6","0","",""
"378","Malik Beasley","Lal","G","26.3","15","26.6","21.3","9.7","11","0.636","58","0.483","119","0.345","0.506","0.511","12.4","3.7","1.3","1","0","1.3","16.1","13.7","17.4","5.9","96.8","110.5"
"379","Malik Beasley","Uta","G","26.3","55","26.7","21.3","8.2","44","0.841","198","0.485","471","0.359","0.522","0.535","13.4","3.6","1.7","0.8","0.1","1.1","17","15.1","18.7","6.5","107.8","115"
"380","Malik Monk","Sac","G","25.1","66","22.5","25.9","16.2","184","0.886","349","0.547","335","0.355","0.54","0.59","13.7","2.7","3.9","0.6","0.2","2","16.3","17.6","20.2","9.3","113.7","112.4"
"381","Mamadi Diakite","Cle","F","26.2","18","6.7","15.3","19.5","0","0","18","0.5","15","0.267","0.455","0.455","1.7","1","0.2","0.1","0.4","0.4","2.7","1.9","2.9","4.2","83.8","98.5"
"382","Marcus Morris Sr.","Lac","F","33.5","60","28.2","17.9","8.1","84","0.786","314","0.478","290","0.376","0.519","0.541","11.6","4","1.8","0.6","0.4","0.9","15.6","13.3","17.3","6.2","109.1","110.1"
"383","Marcus Smart","Bos","G","29","54","32.5","17.6","20.2","106","0.755","232","0.513","293","0.334","0.507","0.535","11.3","3.2","6.4","1.5","0.4","2.5","14.6","17.8","21","7.6","109.8","106.4"
"384","MarJon Beauchamp","Mil","F","22.4","42","13.7","18.7","15.2","29","0.724","86","0.488","120","0.317","0.481","0.501","5.2","2.2","0.6","0.4","0.1","0.9","7.4","5.8","8","5.5","97.9","104.2"
"385","Mark Williams","Cha","C","21.3","37","17.7","16.7","13.7","78","0.692","195","0.641","0","0","0.641","0.663","8.2","6.4","0.4","0.7","1.1","0.8","14.6","8.6","15","6.2","126.8","102.4"
"386","Markelle Fultz","Orl","G","24.8","49","29.9","21.1","17.5","122","0.803","482","0.537","66","0.303","0.527","0.562","13.8","4.1","5.6","1.5","0.4","2.4","17.9","19.4","23.5","9.1","112.9","109.8"
"387","Markieff Morris","Dal","F","33.5","5","4.8","18.9","30","0","0","2","1","5","0.4","0.714","0.714","2","0.6","0.2","0.2","0","0.6","2.6","2.2","2.8","5.2","91.8","95.5"
"388","Markieff Morris","Bro","F","33.5","27","10.6","15.6","14.5","10","1","33","0.394","49","0.408","0.524","0.556","3.6","2.2","0.9","0.3","0.2","0.5","5.7","4.5","6.7","7.3","110.8","105.2"
"389","Marko Simonovic","Chi","C","23.4","3","1.5","9.6","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"390","Marvin Bagley III","Det","F","24","33","22.6","20.4","11.1","78","0.718","244","0.586","45","0.222","0.547","0.575","11.3","6.7","0.7","0.4","0.8","1.1","18","12","18.7","6.6","116.1","111.1"
"391","Mason Plumlee","Lac","F-C","33","11","21.1","14.5","30.3","41","0.78","41","0.756","0","0","0.756","0.796","8.5","8.3","1.8","0.6","0.5","1.6","16.8","10.4","18.6","9.5","136.7","100.1"
"392","Mason Plumlee","Cha","F-C","33","56","28.5","15.6","17.8","256","0.605","396","0.669","0","0","0.669","0.673","12.2","9.6","3.7","0.6","0.6","1.5","21.9","15.9","25.5","10.6","134","106.7"
"393","Matisse Thybulle","Por","G-F","26","14","29.1","11.3","8.7","6","0.667","33","0.576","61","0.41","0.601","0.605","8.4","3.8","1.6","1.9","0.9","0.6","12.1","9.9","13.7","5.1","124.1","111"
"394","Matisse Thybulle","Phi","G-F","26","49","12.1","9.8","6.4","12","0.75","53","0.547","63","0.333","0.522","0.536","2.7","1.3","0.5","0.9","0.3","0.2","3.9","3.1","4.4","4","116.2","103.1"
