"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"551","Trevor Keels","Nyk","G","19.6","2","2","33","0","0","0","0","0","3","0.333","0.5","0.5","1.5","1","0","0","0","0","2.5","1.5","2.5","0","",""
"552","Trey Lyles","Sac","F","27.4","62","16.7","18.3","13.4","110","0.8","145","0.628","197","0.381","0.595","0.634","8","4","1","0.4","0.4","0.9","12","8.9","12.9","7.6","121.4","110"
"553","Trey Murphy III","Nor","F","22.7","67","29.9","16.2","7.6","138","0.906","249","0.598","395","0.4","0.599","0.636","13.4","3.7","1.4","1","0.5","0.8","17.1","14.8","18.5","5.5","125.9","110.5"
"554","Troy Brown Jr.","Lal","G-F","23.6","65","24.7","12.1","10.1","35","0.914","162","0.525","239","0.372","0.545","0.563","7.2","4.1","1.2","0.8","0.2","0.7","11.3","8.4","12.5","5.3","113.2","110"
"555","Ty Jerome","Gol","G-F","25.7","44","18.5","14.9","11","41","0.927","152","0.546","90","0.389","0.56","0.594","7","1.8","3.1","0.5","0.1","0.7","8.8","10.1","11.9","7.3","125.5","112.1"
"556","Tyler Dorsey","Dal","G","27.1","3","2.8","27.3","0","0","0","3","1","2","0.5","0.9","0.9","3","0.7","0","0","0","0","3.7","3","3.7","0","",""
"557","Tyler Herro","Mia","G","23.2","57","35.3","25.8","12.7","161","0.925","502","0.488","461","0.375","0.524","0.56","20.3","5.6","4.3","0.8","0.3","2.5","25.9","24.6","30.3","8.9","108.3","110.8"
"558","Tyrese Haliburton","Ind","G","23","54","33.7","23.9","14.2","194","0.866","423","0.567","392","0.403","0.585","0.623","20.8","3.7","10.4","1.6","0.4","2.5","24.4","31.2","34.9","11","128.9","118"
"559","Tyrese Martin","Atl","G","24","13","3.5","16.6","5.7","2","1","11","0.455","5","0.2","0.406","0.444","1.2","0.5","0","0.1","0","0.1","1.6","1.2","1.6","0","",""
"560","Tyrese Maxey","Phi","G","22.4","50","32.9","24.6","8.2","185","0.838","460","0.504","297","0.414","0.55","0.589","19.8","2.7","3.4","0.8","0.1","1.4","22.5","23.1","25.9","6.9","117.6","111.2"
"561","TyTy Washington Jr.","Hou","G","21.3","30","13.8","17.7","8.3","16","0.625","77","0.494","78","0.218","0.41","0.423","4.6","1.4","1.6","0.4","0.1","0.5","6","6.1","7.5","6.3","97.2","116.1"
